epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1026.37,2.63542,7.63946,1.95323,0.1475,0.53662,0.22501,0.1714,1.78152,3.87319,1.68227,0.0668599,0.000166533,0.000166533
2,2204.21,2.13898,4.61289,1.81641,0.27686,0.33463,0.30407,0.22615,1.79275,3.54476,1.667,0.0336891,0.000329077,0.000329077
1,1069.12,2.63542,7.63946,1.95323,0.1475,0.53662,0.22501,0.1714,1.78152,3.87319,1.68227,0.0668599,0.000166533,0.000166533
2,2155.45,2.13898,4.61289,1.81641,0.27686,0.33463,0.30407,0.22615,1.79275,3.54476,1.667,0.0336891,0.000329077,0.000329077
3,3252.17,1.96636,4.27826,1.78548,0.53465,0.29284,0.38308,0.30237,1.40393,3.10633,1.63487,0.000514162,0.000487495,0.000487495
4,4324.31,1.88287,3.94882,1.76399,0.45838,0.40398,0.42561,0.32903,1.53382,2.99637,1.63384,0.000481438,0.000481438,0.000481438
5,5412.1,1.78606,3.76194,1.73921,0.68511,0.26106,0.4282,0.31656,1.63186,2.90794,1.6581,0.00047525,0.00047525,0.00047525
6,6461.47,1.74299,3.63741,1.73463,0.59682,0.31281,0.45403,0.37276,1.20678,2.7724,1.60262,0.000469063,0.000469063,0.000469063
7,7487.85,1.70032,3.54291,1.72865,0.6647,0.31459,0.46664,0.38426,1.23338,2.71725,1.5998,0.000462875,0.000462875,0.000462875
8,8476.61,1.63685,3.47179,1.70283,0.68686,0.31523,0.47425,0.39837,1.1334,2.68872,1.58568,0.000456687,0.000456687,0.000456687
9,9465.7,1.5691,3.36687,1.70254,0.78029,0.29664,0.47565,0.3924,1.34314,2.68517,1.60317,0.0004505,0.0004505,0.0004505
10,10466.2,1.56798,3.34105,1.70257,0.76972,0.31242,0.51268,0.40494,1.46271,2.60369,1.61419,0.000444312,0.000444312,0.000444312
11,11615.6,1.54124,3.27861,1.6919,0.78592,0.32049,0.50193,0.41676,1.28913,2.62385,1.58312,0.000438125,0.000438125,0.000438125
12,12704.8,1.49826,3.22481,1.6909,0.75321,0.28694,0.47613,0.39231,1.16295,2.61885,1.58835,0.000431938,0.000431938,0.000431938
13,13948.1,1.47847,3.23229,1.68641,0.77906,0.29866,0.5003,0.42484,1.08997,2.57193,1.58548,0.00042575,0.00042575,0.00042575
14,15269.8,1.43488,3.16235,1.67727,0.79264,0.32162,0.50923,0.42668,1.2162,2.55581,1.58294,0.000419563,0.000419563,0.000419563
15,16497.7,1.41596,3.10438,1.67113,0.84063,0.30258,0.51744,0.44453,1.01663,2.50048,1.56802,0.000413375,0.000413375,0.000413375
16,17682.4,1.41051,3.05016,1.6617,0.71661,0.36136,0.55521,0.47802,0.96092,2.39525,1.56318,0.000407187,0.000407187,0.000407187
17,18992.7,1.40896,2.98059,1.6707,0.85419,0.37836,0.59063,0.51019,1.06875,2.25022,1.56909,0.000401,0.000401,0.000401
18,20357.7,1.35702,2.8986,1.66379,0.55473,0.59106,0.62427,0.54612,0.99905,2.20557,1.57078,0.000394813,0.000394813,0.000394813
19,21630.7,1.39371,2.81906,1.66773,0.52788,0.75358,0.67257,0.58026,0.99371,2.02067,1.57159,0.000388625,0.000388625,0.000388625
20,22788.5,1.39086,2.775,1.6667,0.67782,0.65595,0.72235,0.63435,1.06479,1.91635,1.57384,0.000382438,0.000382438,0.000382438
21,24152.9,1.36533,2.65598,1.65977,0.63609,0.76232,0.77847,0.70197,0.875,1.77129,1.55832,0.00037625,0.00037625,0.00037625
22,25447.6,1.3758,2.58701,1.66792,0.68073,0.83583,0.81345,0.72757,0.95419,1.63563,1.56429,0.000370063,0.000370063,0.000370063
1,1391.13,2.63542,7.63946,1.95323,0.1475,0.53662,0.22501,0.1714,1.78152,3.87319,1.68227,0.0668599,0.000166533,0.000166533
2,2690.09,2.13898,4.61289,1.81641,0.27686,0.33463,0.30407,0.22615,1.79275,3.54476,1.667,0.0336891,0.000329077,0.000329077
3,3730.48,1.96636,4.27826,1.78548,0.53465,0.29284,0.38308,0.30237,1.40393,3.10633,1.63487,0.000514162,0.000487495,0.000487495
4,6525.86,1.88287,3.94882,1.76399,0.45838,0.40398,0.42561,0.32903,1.53382,2.99637,1.63384,0.000481438,0.000481438,0.000481438
1,1096.29,2.63542,7.63946,1.95323,0.1475,0.53662,0.22501,0.1714,1.78152,3.87319,1.68227,0.0668599,0.000166533,0.000166533
1,1110.94,2.63542,7.63946,1.95323,0.1475,0.53662,0.22501,0.1714,1.78152,3.87319,1.68227,0.0668599,0.000166533,0.000166533
2,2208.19,2.13898,4.61289,1.81641,0.27686,0.33463,0.30407,0.22615,1.79275,3.54476,1.667,0.0336891,0.000329077,0.000329077
3,3289.8,1.96636,4.27826,1.78548,0.53465,0.29284,0.38308,0.30237,1.40393,3.10633,1.63487,0.000514162,0.000487495,0.000487495
4,4364.76,1.88287,3.94882,1.76399,0.45838,0.40398,0.42561,0.32903,1.53382,2.99637,1.63384,0.000481438,0.000481438,0.000481438
5,5432.32,1.78606,3.76194,1.73921,0.68511,0.26106,0.4282,0.31656,1.63186,2.90794,1.6581,0.00047525,0.00047525,0.00047525
6,6488.12,1.74299,3.63741,1.73463,0.59682,0.31281,0.45403,0.37276,1.20678,2.7724,1.60262,0.000469063,0.000469063,0.000469063
7,7681.41,1.70032,3.54291,1.72865,0.6647,0.31459,0.46664,0.38426,1.23338,2.71725,1.5998,0.000462875,0.000462875,0.000462875
8,8954.1,1.63685,3.47179,1.70283,0.68686,0.31523,0.47425,0.39837,1.1334,2.68872,1.58568,0.000456687,0.000456687,0.000456687
9,10052.9,1.5691,3.36687,1.70254,0.78029,0.29664,0.47565,0.3924,1.34314,2.68517,1.60317,0.0004505,0.0004505,0.0004505
10,11128.2,1.56798,3.34105,1.70257,0.76972,0.31242,0.51268,0.40494,1.46271,2.60369,1.61419,0.000444312,0.000444312,0.000444312
11,12368.2,1.54124,3.27861,1.6919,0.78592,0.32049,0.50193,0.41676,1.28913,2.62385,1.58312,0.000438125,0.000438125,0.000438125
12,13503.7,1.49826,3.22481,1.6909,0.75321,0.28694,0.47613,0.39231,1.16295,2.61885,1.58835,0.000431938,0.000431938,0.000431938
13,14559.2,1.47847,3.23229,1.68641,0.77906,0.29866,0.5003,0.42484,1.08997,2.57193,1.58548,0.00042575,0.00042575,0.00042575
