epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.975,0.43286,2.32108,1.13124,0.16608,1,0.19744,0.19744,0.24605,2.28365,0.54875,0.0671044,0.000332278,0.000332278
2,203.665,0.3409,1.96367,1.06627,0.16635,1,0.20214,0.20214,0.19745,1.84261,0.52634,0.0338848,0.00044596,0.00044596
3,306.149,0.27523,1.86619,1.01711,0.16644,1,0.19885,0.19885,0.16943,1.75676,0.4919,0.000445127,0.000339641,0.000339641
1,74.0288,0.50273,2.47675,1.18595,0.60324,0.14477,0.22664,0.18996,0.7463,2.73386,1.23172,0.0674177,0.000329114,0.000329114
2,144.661,0.36499,1.99,1.08129,0.17308,0.9292,0.23039,0.23039,0.29071,2.24513,0.64649,0.0343959,0.000640586,0.000640586
3,213.362,0.31377,1.8704,1.02891,0.16663,1,0.22141,0.21406,0.3436,1.82379,0.6857,0.001352,0.000930059,0.000930059
4,309.914,0.30151,1.81352,1.02215,0.1662,1,0.2166,0.20738,0.32213,1.78622,0.66541,0.000901,0.000901,0.000901
5,408.758,0.26269,1.75118,0.99664,0.16623,1,0.22142,0.22052,0.26517,1.73695,0.60035,0.000868,0.000868,0.000868
6,480.924,0.24299,1.70133,0.97442,0.16633,1,0.2183,0.2183,0.23954,1.72954,0.56448,0.000835,0.000835,0.000835
7,552.556,0.22677,1.66684,0.97324,0.16639,1,0.20103,0.20036,0.33312,1.73415,0.66898,0.000802,0.000802,0.000802
8,626.479,0.21009,1.6312,0.95161,0.16627,1,0.21327,0.21327,0.20886,1.61357,0.51906,0.000769,0.000769,0.000769
9,700.21,0.19324,1.60629,0.94317,0.16656,1,0.20626,0.20626,0.15413,1.58509,0.48023,0.000736,0.000736,0.000736
10,770.057,0.19325,1.603,0.95273,0.1664,1,0.20005,0.20005,0.19538,1.54956,0.54866,0.000703,0.000703,0.000703
11,838.313,0.17256,1.57812,0.93297,0.16631,1,0.2112,0.2112,0.17852,1.55785,0.52575,0.00067,0.00067,0.00067
12,907.563,0.16618,1.56123,0.92621,0.16667,1,0.20501,0.20501,0.21213,1.54682,0.53216,0.000637,0.000637,0.000637
13,977.793,0.16445,1.55997,0.92789,0.16628,1,0.21192,0.21192,0.21333,1.54705,0.53906,0.000604,0.000604,0.000604
14,1046.48,0.15654,1.55091,0.93552,0.16642,1,0.21201,0.21201,0.23948,1.53691,0.57048,0.000571,0.000571,0.000571
15,1116.72,0.14125,1.52714,0.91475,0.1664,1,0.19878,0.19878,0.19307,1.51115,0.50924,0.000538,0.000538,0.000538
16,1188.91,0.1457,1.52839,0.9202,0.16628,1,0.21657,0.21657,0.29687,1.55899,0.63571,0.000505,0.000505,0.000505
17,1262.17,0.14059,1.52042,0.91609,0.16641,1,0.22079,0.22079,0.15581,1.49104,0.48334,0.000472,0.000472,0.000472
18,1329.73,0.13697,1.51816,0.92126,0.16635,1,0.20221,0.20221,0.21461,1.50589,0.53557,0.000439,0.000439,0.000439
19,1397.29,0.12738,1.51173,0.90998,0.16636,1,0.21032,0.20819,0.20498,1.49988,0.53863,0.000406,0.000406,0.000406
20,1465,0.12225,1.49659,0.90745,0.16639,1,0.21352,0.21324,0.16806,1.47547,0.48488,0.000373,0.000373,0.000373
21,1526.81,0.09082,1.68441,0.88716,0.16639,1,0.21063,0.21063,0.1894,1.61707,0.4888,0.00034,0.00034,0.00034
22,1587.9,0.07598,1.51925,0.88003,0.16629,1,0.22553,0.22553,0.19261,1.52744,0.50611,0.000307,0.000307,0.000307
1,98.7312,2.86927,7.22393,1.16244,0,0,0,0,2.15194,4.84034,0.85941,0.067825,0.000325,0.000325
2,199.205,2.16956,4.42481,0.94627,0,0,0,0,1.99152,4.9105,0.84542,0.0348033,0.000636608,0.000636608
3,263.818,1.96484,3.89259,0.96648,0.01743,0.42755,0.03778,0.02695,1.59468,3.82027,0.80437,0.00175955,0.000926217,0.000926217
4,337.986,1.94226,3.65089,0.93798,0.12152,0.17805,0.06623,0.04801,1.45963,3.03815,0.78705,0.000901,0.000901,0.000901
5,451.962,1.83054,3.41433,0.90609,0.13417,0.21658,0.07937,0.05761,1.48919,2.87316,0.79116,0.000868,0.000868,0.000868
6,530.373,1.76805,3.29266,0.90235,0.09887,0.08146,0.07039,0.05068,1.45572,2.90389,0.79372,0.000835,0.000835,0.000835
7,598.539,1.725,3.19787,0.90181,0.02834,0.64438,0.07676,0.05141,1.41562,3.27557,0.78204,0.000802,0.000802,0.000802
8,665.341,1.65045,3.04921,0.90738,0.12731,0.13864,0.10383,0.07522,1.25959,2.8214,0.77746,0.000769,0.000769,0.000769
9,740.929,1.63587,2.97864,0.90329,0.13,0.26565,0.11483,0.08012,1.22221,2.51537,0.75954,0.000736,0.000736,0.000736
10,811.365,1.58511,2.9245,0.89149,0.1362,0.25081,0.11793,0.08275,1.28248,2.52168,0.77014,0.000703,0.000703,0.000703
11,898.993,1.42801,2.79335,0.86527,0.1279,0.38919,0.12134,0.08379,1.24664,2.39638,0.77421,0.00067,0.00067,0.00067
12,1010.15,1.53379,2.75209,0.87149,0.13027,0.26897,0.13272,0.08989,1.24597,2.37506,0.76311,0.000637,0.000637,0.000637
13,1117.67,1.54083,2.75121,0.87284,0.14295,0.42333,0.13453,0.09154,1.26055,2.50111,0.76829,0.000604,0.000604,0.000604
14,1225.53,1.39474,2.61778,0.86124,0.1448,0.56279,0.14032,0.10215,1.08337,2.13701,0.75372,0.000571,0.000571,0.000571
15,1332.94,1.3899,2.61777,0.87878,0.14092,0.55047,0.15108,0.11061,1.08104,2.14495,0.76133,0.000538,0.000538,0.000538
16,1439.82,1.41256,2.59977,0.8667,0.15802,0.44787,0.15459,0.10864,1.18693,2.25679,0.76392,0.000505,0.000505,0.000505
17,1530.18,1.41155,2.59542,0.88859,0.1489,0.53591,0.14869,0.09964,1.14541,2.11548,0.75551,0.000472,0.000472,0.000472
18,1617.06,1.38082,2.50842,0.87049,0.15084,0.55206,0.15577,0.11064,1.0923,2.11073,0.75818,0.000439,0.000439,0.000439
19,1691.31,1.37361,2.49527,0.8602,0.14361,0.58854,0.15685,0.11082,1.02866,2.077,0.75405,0.000406,0.000406,0.000406
20,1764.48,1.37929,2.47856,0.8653,0.14536,0.5457,0.1646,0.1114,1.08934,2.0747,0.75274,0.000373,0.000373,0.000373
21,1831.55,1.10954,2.22153,0.83702,0.14651,0.57874,0.16069,0.10836,1.08249,2.06301,0.75568,0.00034,0.00034,0.00034
22,1897.39,1.07801,2.13495,0.84449,0.1509,0.6398,0.16396,0.11307,1.05399,2.03281,0.75265,0.000307,0.000307,0.000307
23,1983.06,1.00285,2.07188,0.82291,0.14959,0.56687,0.1717,0.11909,1.08519,1.99604,0.74502,0.000274,0.000274,0.000274
24,2053.65,0.95875,2.00497,0.83531,0.14812,0.57854,0.17948,0.12303,0.99628,2.00618,0.74753,0.000241,0.000241,0.000241
25,2119.14,0.97272,2.0211,0.83744,0.1451,0.62206,0.18921,0.13009,0.90627,1.92207,0.73655,0.000208,0.000208,0.000208
26,2183.87,0.94674,1.99042,0.83565,0.14846,0.62906,0.18998,0.13383,0.87368,1.92365,0.739,0.000175,0.000175,0.000175
27,2252.13,0.90431,1.98048,0.82487,0.15091,0.63821,0.19173,0.13869,0.87667,1.90751,0.74434,0.000142,0.000142,0.000142
28,2323.97,0.90849,1.93375,0.83038,0.14903,0.67994,0.19901,0.14436,0.88301,1.89034,0.73855,0.000109,0.000109,0.000109
29,2393.24,0.91603,1.96046,0.83205,0.14973,0.63829,0.19567,0.13521,0.93506,1.89246,0.74278,7.6e-05,7.6e-05,7.6e-05
30,2457.83,0.86713,1.90733,0.82375,0.1507,0.62537,0.20098,0.14363,0.85514,1.87385,0.74199,4.3e-05,4.3e-05,4.3e-05
1,71.1022,3.29581,9.70096,1.35373,0,0,0,0,2.25792,5.04401,0.88352,0.08119,0.00019,0.00019
2,136.068,2.29045,4.83935,0.96145,0,0,0,0,1.97502,4.87885,0.81765,0.0613823,0.000382278,0.000382278
3,196.102,2.03569,4.06655,0.94072,0,0,0,0,1.79077,5.58648,0.85578,0.0415666,0.000566636,0.000566636
4,264.91,1.99635,3.77338,0.92976,0.00192,0.00847,0.00104,0.00069,1.67718,4.72108,0.7933,0.0217431,0.000743074,0.000743074
5,327.936,1.94025,3.52576,0.91321,0.07851,0.11315,0.06061,0.04335,1.45571,4.55805,0.78164,0.00191159,0.000911592,0.000911592
6,388.699,1.8411,3.30723,0.89706,0.02563,0.50188,0.04838,0.03501,1.41859,3.48824,0.78825,0.000901,0.000901,0.000901
7,448.489,1.7642,3.18878,0.90307,0.02036,0.51269,0.06056,0.04304,1.46718,3.30004,0.79442,0.0008812,0.0008812,0.0008812
8,510.518,1.62581,2.97292,0.88463,0.06437,0.61125,0.10286,0.05912,1.56127,3.22483,0.77599,0.0008614,0.0008614,0.0008614
9,569.133,1.63535,2.93648,0.89987,0.12684,0.16053,0.10654,0.0652,1.40315,2.64403,0.78042,0.0008416,0.0008416,0.0008416
10,630.272,1.64346,2.85311,0.89468,0.07067,0.68825,0.11819,0.07419,1.34925,2.87891,0.76461,0.0008218,0.0008218,0.0008218
11,690.03,1.58217,2.79394,0.87817,0.13559,0.3642,0.10149,0.07067,1.28256,2.44153,0.75262,0.000802,0.000802,0.000802
12,750.05,1.53107,2.6956,0.87483,0.13525,0.40625,0.12031,0.084,1.27296,2.39177,0.75914,0.0007822,0.0007822,0.0007822
13,811.392,1.52051,2.67419,0.86909,0.13586,0.41669,0.14619,0.0978,1.18906,2.45002,0.74737,0.0007624,0.0007624,0.0007624
14,874.784,1.46781,2.56409,0.86797,0.15327,0.48549,0.13898,0.10129,1.06297,2.22724,0.75054,0.0007426,0.0007426,0.0007426
15,935.21,1.41881,2.56461,0.86507,0.14483,0.52395,0.14163,0.09315,1.26037,2.11851,0.75317,0.0007228,0.0007228,0.0007228
16,996.429,1.54832,2.55629,0.87023,0.16539,0.33997,0.15571,0.10457,1.14942,2.2403,0.74887,0.000703,0.000703,0.000703
17,1056.95,1.42737,2.45976,0.86917,0.14559,0.50019,0.14219,0.09787,1.23791,2.16042,0.75407,0.0006832,0.0006832,0.0006832
18,1118.21,1.41218,2.46076,0.86999,0.15578,0.48208,0.15737,0.10905,1.17984,2.21739,0.75731,0.0006634,0.0006634,0.0006634
19,1179.91,1.38881,2.4138,0.86064,0.1494,0.4946,0.14652,0.10507,1.11657,2.18694,0.74395,0.0006436,0.0006436,0.0006436
20,1240.85,1.35275,2.37059,0.85178,0.15305,0.54537,0.15809,0.11293,1.01526,2.03972,0.74188,0.0006238,0.0006238,0.0006238
21,1301.29,1.36651,2.37506,0.85191,0.14677,0.64596,0.15674,0.10159,1.11934,2.02849,0.74556,0.000604,0.000604,0.000604
22,1361.63,1.30401,2.27395,0.83896,0.15159,0.61354,0.17825,0.12671,0.97595,1.99154,0.7458,0.0005842,0.0005842,0.0005842
23,1422.43,1.3211,2.31335,0.86256,0.15002,0.61132,0.18473,0.12717,1.00688,2.01537,0.74578,0.0005644,0.0005644,0.0005644
24,1483.39,1.26086,2.26714,0.84845,0.17951,0.62495,0.20709,0.13828,0.95178,1.96076,0.75097,0.0005446,0.0005446,0.0005446
25,1542.98,1.2989,2.25727,0.85026,0.16321,0.61557,0.20516,0.14396,0.86829,1.88157,0.741,0.0005248,0.0005248,0.0005248
26,1603.56,1.24483,2.22616,0.85666,0.15357,0.65234,0.18187,0.13298,0.90499,1.92256,0.73269,0.000505,0.000505,0.000505
27,1663.13,1.24207,2.23381,0.83509,0.17769,0.51916,0.21296,0.13553,1.14813,2.02822,0.74289,0.0004852,0.0004852,0.0004852
28,1723.33,1.24778,2.19912,0.8435,0.17072,0.60316,0.21525,0.14594,0.93412,1.8973,0.74069,0.0004654,0.0004654,0.0004654
