epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.645,1.74869,20.17,1.13323,0.20062,0.53135,0.23465,0.16426,1.19628,12.6242,0.91762,0.0801663,3.97468e-05,3.97468e-05
2,254.07,1.55122,16.1015,1.06399,0.20533,0.50509,0.2656,0.1815,1.27117,11.5952,0.92108,0.0602061,7.94837e-05,7.94837e-05
3,375.979,1.50139,15.6135,1.03945,0.22985,0.41756,0.25401,0.17285,1.16142,11.4148,0.90039,0.0402455,0.000118957,0.000118957
4,496.861,1.44592,15.0736,1.03185,0.18709,0.64671,0.29127,0.19827,1.14064,11.0593,0.89346,0.0202847,0.000158165,0.000158165
5,614.554,1.459,14.7455,1.04313,0.31211,0.34464,0.30357,0.19262,1.39746,10.9937,0.93021,0.000323692,0.00019711,0.00019711
6,730.539,1.3643,13.7586,1.00148,0.40115,0.27477,0.31731,0.21339,1.21482,10.8047,0.90307,0.0001967,0.0001967,0.0001967
7,847.668,1.36373,13.8895,0.99937,0.51116,0.2359,0.32594,0.22614,1.08301,10.8591,0.88551,0.00019604,0.00019604,0.00019604
8,960.87,1.35021,13.4442,1.01065,0.35307,0.31976,0.34532,0.23078,1.26258,10.8352,0.90199,0.00019538,0.00019538,0.00019538
9,1077.43,1.31336,13.3742,0.99076,0.49847,0.24881,0.34818,0.22334,1.28979,10.5195,0.91277,0.00019472,0.00019472,0.00019472
10,1194.79,1.30574,13.3361,0.97671,0.52204,0.26757,0.34999,0.24121,0.99781,10.2696,0.8702,0.00019406,0.00019406,0.00019406
11,1309.44,1.31585,13.1228,0.98105,0.41492,0.29064,0.34967,0.22233,1.27948,10.5381,0.89949,0.0001934,0.0001934,0.0001934
12,1424.14,1.28562,13.0397,0.97559,0.42935,0.28044,0.34577,0.22708,1.18588,10.3002,0.88986,0.00019274,0.00019274,0.00019274
13,1539.36,1.29542,12.9881,0.98097,0.55567,0.24988,0.3596,0.24985,1.07235,10.2282,0.87789,0.00019208,0.00019208,0.00019208
14,1656.24,1.27607,12.9607,0.96293,0.56535,0.25626,0.36884,0.25582,1.12082,10.2247,0.87755,0.00019142,0.00019142,0.00019142
15,1774.02,1.25965,12.8296,0.97294,0.47756,0.27908,0.37612,0.24245,1.27499,10.3171,0.90205,0.00019076,0.00019076,0.00019076
16,1890.64,1.24083,12.5399,0.96165,0.44363,0.32485,0.37535,0.25657,1.07136,10.1139,0.87052,0.0001901,0.0001901,0.0001901
17,2010.22,1.25315,12.5683,0.96729,0.56722,0.27127,0.37194,0.26483,0.97704,9.95264,0.85836,0.00018944,0.00018944,0.00018944
18,2126.81,1.25672,12.8114,0.97019,0.56073,0.25668,0.37165,0.25889,1.00635,9.94332,0.85971,0.00018878,0.00018878,0.00018878
19,2245.78,1.25361,12.7178,0.96175,0.51178,0.29444,0.38182,0.25788,1.17598,10.122,0.87598,0.00018812,0.00018812,0.00018812
20,2370.95,1.26339,12.8097,0.97367,0.54288,0.27047,0.3808,0.25685,1.12419,10.0468,0.8755,0.00018746,0.00018746,0.00018746
21,2488.03,1.21737,12.3913,0.95279,0.55246,0.23493,0.36327,0.25151,1.04512,10.0061,0.87108,0.0001868,0.0001868,0.0001868
22,2606.3,1.24404,12.568,0.96436,0.61066,0.26547,0.37559,0.24844,1.17736,10.0309,0.88623,0.00018614,0.00018614,0.00018614
23,2726.07,1.22531,12.451,0.95662,0.60595,0.27572,0.38846,0.2715,0.98137,9.89284,0.85558,0.00018548,0.00018548,0.00018548
24,2846.94,1.23857,12.6503,0.9593,0.64293,0.2404,0.38188,0.26765,1.03893,10.0386,0.86293,0.00018482,0.00018482,0.00018482
25,2969.58,1.22405,12.534,0.9499,0.58708,0.27078,0.39884,0.26829,1.14862,9.87176,0.87783,0.00018416,0.00018416,0.00018416
26,3089.06,1.18452,11.9688,0.94168,0.6121,0.27494,0.39317,0.2618,1.18063,9.90449,0.86982,0.0001835,0.0001835,0.0001835
27,3264.47,1.20687,12.3168,0.95072,0.64187,0.26748,0.39413,0.27106,0.98662,9.88441,0.84997,0.00018284,0.00018284,0.00018284
28,3439.13,1.18198,11.9671,0.94487,0.6091,0.26701,0.40261,0.26955,0.98374,9.87593,0.85163,0.00018218,0.00018218,0.00018218
