epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.469,2.15938,31.3669,1.25195,0,0,0,0,1.89965,28.4796,1.1264,0.0801663,3.97468e-05,3.97468e-05
2,310.357,1.9486,25.4076,1.17256,0.00617,0.00245,0.00325,0.00227,1.86292,24.1018,1.08137,0.0602061,7.94837e-05,7.94837e-05
3,440.53,1.90693,23.9142,1.14911,0,0,0,0,1.71991,21.6929,1.04439,0.0402455,0.000118957,0.000118957
4,572.37,1.83082,22.5662,1.13094,0.10367,0.33092,0.09745,0.07709,1.34864,19.4021,0.97085,0.0202847,0.000158165,0.000158165
5,705.769,1.77394,21.7562,1.12238,0.12463,0.10411,0.0839,0.06536,1.48423,18.7963,1.00122,0.000323692,0.00019711,0.00019711
6,834.324,1.71793,20.4632,1.08349,0.13435,0.19643,0.0967,0.07371,1.42748,16.8512,0.971,0.0001967,0.0001967,0.0001967
7,968.532,1.67324,20.0626,1.07136,0.12805,0.24974,0.09576,0.08017,1.33728,16.2049,0.95125,0.00019604,0.00019604,0.00019604
8,1094.85,1.66913,19.3353,1.08762,0.13677,0.42079,0.11599,0.09038,1.24382,15.6206,0.93403,0.00019538,0.00019538,0.00019538
9,1221.39,1.5767,18.7895,1.04068,0.12756,0.46367,0.11634,0.07456,1.56686,15.6166,0.97214,0.00019472,0.00019472,0.00019472
10,1357.75,1.62713,18.5837,1.04862,0.14423,0.34543,0.11032,0.06477,1.69225,15.1563,0.99725,0.00019406,0.00019406,0.00019406
11,1545.29,1.61519,18.0814,1.04522,0.14893,0.32777,0.11591,0.06655,1.64216,14.5974,0.97955,0.0001934,0.0001934,0.0001934
12,1736.93,1.57475,17.3616,1.02748,0.15011,0.39247,0.12708,0.08842,1.33978,14.0092,0.92164,0.00019274,0.00019274,0.00019274
13,1918.38,1.57028,17.2765,1.04282,0.14086,0.44362,0.13033,0.09541,1.15594,13.5961,0.89471,0.00019208,0.00019208,0.00019208
14,2048.97,1.56186,17.1038,1.02519,0.14855,0.48424,0.14567,0.10081,1.24925,13.3128,0.9109,0.00019142,0.00019142,0.00019142
15,2179.06,1.50826,16.6172,1.02576,0.14994,0.61299,0.16697,0.10734,1.29925,12.9492,0.91531,0.00019076,0.00019076,0.00019076
16,2309,1.456,15.9924,1.00097,0.15978,0.57362,0.18263,0.11181,1.37448,12.9015,0.91709,0.0001901,0.0001901,0.0001901
17,2437.37,1.49353,16.1657,1.01717,0.15009,0.65946,0.19371,0.12106,1.40655,13.0771,0.93369,0.00018944,0.00018944,0.00018944
18,2570.44,1.48039,16.1481,1.01307,0.16055,0.63557,0.20096,0.12861,1.31144,12.6927,0.90051,0.00018878,0.00018878,0.00018878
19,2704.65,1.47725,15.9354,1.00528,0.15313,0.59148,0.19776,0.1357,1.19092,12.4468,0.89201,0.00018812,0.00018812,0.00018812
20,2838.24,1.46316,15.8665,1.01427,0.16317,0.62226,0.20717,0.14015,1.16389,12.1152,0.88832,0.00018746,0.00018746,0.00018746
21,2967.33,1.42562,15.5056,0.99386,0.14721,0.71674,0.20673,0.13899,1.20858,12.4877,0.90223,0.0001868,0.0001868,0.0001868
22,3117.76,1.43754,15.5462,1.00139,0.22429,0.55193,0.21921,0.14979,1.20993,12.0818,0.89046,0.00018614,0.00018614,0.00018614
23,3293.52,1.41367,15.5283,0.99276,0.15904,0.70527,0.23185,0.15508,1.21635,11.9627,0.89365,0.00018548,0.00018548,0.00018548
24,3481.12,1.42644,15.2655,0.98782,0.17576,0.68245,0.22721,0.14542,1.28624,11.989,0.90416,0.00018482,0.00018482,0.00018482
25,3665.22,1.42354,15.2149,0.98546,0.16062,0.69919,0.23871,0.1493,1.36063,11.9275,0.90471,0.00018416,0.00018416,0.00018416
26,3836.25,1.3622,14.4724,0.97105,0.18024,0.61009,0.23761,0.14812,1.33158,11.6993,0.9046,0.0001835,0.0001835,0.0001835
27,3973.2,1.3636,14.762,0.97503,0.1657,0.68407,0.23226,0.14456,1.45783,11.9818,0.92215,0.00018284,0.00018284,0.00018284
28,4103.37,1.373,14.4637,0.97767,0.16784,0.67434,0.24147,0.14946,1.29043,11.7435,0.89472,0.00018218,0.00018218,0.00018218
29,4242.33,1.33955,14.4771,0.98283,0.16422,0.68993,0.24,0.16046,1.19367,11.5868,0.88771,0.00018152,0.00018152,0.00018152
30,4392.95,1.33064,14.227,0.97083,0.18349,0.58944,0.24212,0.16368,1.1135,11.5156,0.86851,0.00018086,0.00018086,0.00018086
