epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.418,2.06829,20.6933,1.32286,0.23124,0.27036,0.24384,0.13369,1.69544,11.2601,1.05385,0.066977,9.93671e-05,9.93671e-05
2,250.909,1.81011,16.2497,1.20428,0.22148,0.47262,0.26564,0.1503,1.44044,10.4771,0.98543,0.0337427,0.00019838,0.00019838
3,370.561,1.76915,15.6485,1.19602,0.2002,0.58699,0.26247,0.13933,1.58496,10.3504,1.0106,0.000507374,0.000296403,0.000296403
4,495.795,1.70921,15.102,1.15176,0.17451,0.59337,0.26669,0.13756,1.60185,10.4657,1.01967,0.000295545,0.000295545,0.000295545
5,621.719,1.68094,14.5146,1.15478,0.1969,0.58523,0.29707,0.18045,1.33957,9.65486,0.95224,0.00029406,0.00029406,0.00029406
6,742.941,1.65095,14.2495,1.13977,0.20277,0.5512,0.31552,0.19731,1.24678,9.54737,0.93286,0.000292575,0.000292575,0.000292575
7,864.28,1.62533,14.143,1.12109,0.28897,0.31509,0.32976,0.18064,1.44963,9.58946,0.96878,0.00029109,0.00029109,0.00029109
8,983.055,1.56614,13.4773,1.10088,0.18665,0.64935,0.33424,0.18521,1.52956,9.49018,0.97629,0.000289605,0.000289605,0.000289605
9,1101.46,1.6145,13.9664,1.13111,0.21196,0.48536,0.32219,0.19695,1.18408,9.08052,0.91597,0.00028812,0.00028812,0.00028812
10,1218.86,1.59361,13.3169,1.12944,0.33183,0.28853,0.31781,0.18563,1.34412,9.48501,0.95514,0.000286635,0.000286635,0.000286635
11,1337.56,1.56514,13.3921,1.10121,0.254,0.41824,0.33733,0.20854,1.31975,9.13994,0.93359,0.00028515,0.00028515,0.00028515
12,1458.55,1.51824,13.1015,1.09684,0.40706,0.28463,0.35709,0.21592,1.30504,9.18475,0.93037,0.000283665,0.000283665,0.000283665
