epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.895,1.17005,2.77279,0.95052,0.18508,0.50853,0.24241,0.16911,1.09863,2.09253,0.90068,0.0669108,3.31224e-05,3.31224e-05
2,316.184,0.99528,2.17527,0.90342,0.20602,0.51967,0.28701,0.20958,0.91093,1.86171,0.86494,0.0336094,6.51399e-05,6.51399e-05
3,457.971,0.94228,2.04985,0.89974,0.21368,0.55348,0.30903,0.22518,0.85571,1.79262,0.85696,0.000306808,9.58374e-05,9.58374e-05
4,598.168,0.89126,1.9617,0.87976,0.26783,0.38594,0.32228,0.23657,0.77994,1.76458,0.85068,9.406e-05,9.406e-05,9.406e-05
5,736.06,0.86006,1.93968,0.87965,0.22183,0.50006,0.32397,0.24164,0.74048,1.73001,0.84528,9.208e-05,9.208e-05,9.208e-05
6,876.942,0.84917,1.90761,0.87282,0.22173,0.58329,0.33747,0.25492,0.72739,1.70484,0.84507,9.01e-05,9.01e-05,9.01e-05
7,1016.5,0.81238,1.85899,0.86184,0.23015,0.47803,0.34558,0.26366,0.71963,1.67642,0.84203,8.812e-05,8.812e-05,8.812e-05
8,1155.77,0.78809,1.85803,0.86197,0.37948,0.28751,0.34636,0.26772,0.72507,1.67313,0.84198,8.614e-05,8.614e-05,8.614e-05
9,1293.64,0.77907,1.82537,0.85819,0.2712,0.46725,0.35572,0.27309,0.70471,1.65926,0.8409,8.416e-05,8.416e-05,8.416e-05
10,1441.02,0.77974,1.8276,0.8605,0.26158,0.51705,0.35949,0.27769,0.6965,1.65306,0.83977,8.218e-05,8.218e-05,8.218e-05
11,1597.21,0.7687,1.76885,0.84714,0.27561,0.48452,0.36469,0.28199,0.71391,1.64194,0.84058,8.02e-05,8.02e-05,8.02e-05
1,153.509,1.17005,2.77279,0.95052,0.18508,0.50853,0.24241,0.16911,1.09863,2.09253,0.90068,0.0669108,3.31224e-05,3.31224e-05
12,1756.98,0.74792,1.78609,0.85476,0.34925,0.35699,0.36883,0.28581,0.62561,1.63084,0.8345,7.822e-05,7.822e-05,7.822e-05
2,290.433,0.99528,2.17527,0.90342,0.20602,0.51967,0.28701,0.20958,0.91093,1.86171,0.86494,0.0336094,6.51399e-05,6.51399e-05
13,1916.04,0.75572,1.79895,0.85837,0.50681,0.24919,0.37649,0.28552,0.77563,1.63809,0.84101,7.624e-05,7.624e-05,7.624e-05
3,430.491,0.94228,2.04985,0.89974,0.21368,0.55348,0.30903,0.22518,0.85571,1.79262,0.85696,0.000306808,9.58374e-05,9.58374e-05
14,2079.68,0.7391,1.75174,0.84815,0.57216,0.24494,0.37021,0.28365,0.70437,1.62055,0.83517,7.426e-05,7.426e-05,7.426e-05
4,570.838,0.89126,1.9617,0.87976,0.26783,0.38594,0.32228,0.23657,0.77994,1.76458,0.85068,9.406e-05,9.406e-05,9.406e-05
15,2228.03,0.74626,1.78848,0.85019,0.49811,0.26086,0.36949,0.28336,0.70206,1.63215,0.83411,7.228e-05,7.228e-05,7.228e-05
5,701.5,0.86006,1.93968,0.87965,0.22183,0.50006,0.32397,0.24164,0.74048,1.73001,0.84528,9.208e-05,9.208e-05,9.208e-05
6,800.139,0.84917,1.90761,0.87282,0.22173,0.58329,0.33747,0.25492,0.72739,1.70484,0.84507,9.01e-05,9.01e-05,9.01e-05
16,2340.48,0.70875,1.76814,0.8465,0.43269,0.29445,0.37694,0.29114,0.69662,1.62748,0.83295,7.03e-05,7.03e-05,7.03e-05
