epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2031,2.7113,6.91174,1.19151,0,0,0,0,2.00971,4.90305,0.84154,0.067825,0.000325,0.000325
2,36.6847,2.05568,4.43301,0.95919,0.00944,0.33902,0.01924,0.01349,1.70831,3.89238,0.81226,0.0348185,0.000651816,0.000651816
3,53.3155,1.94832,3.85439,0.95316,0.04497,0.12883,0.03023,0.01817,1.81758,3.70191,0.81435,0.00180537,0.000972032,0.000972032
4,69.7991,1.82114,3.51964,0.943,0.11421,0.26632,0.07507,0.04343,1.94829,3.70977,0.82903,0.0009703,0.0009703,0.0009703
5,87.3549,1.80782,3.3552,0.92648,0.12474,0.21706,0.09191,0.06419,1.4882,2.89381,0.79416,0.0009604,0.0009604,0.0009604
6,103.637,1.67688,3.1973,0.92286,0.13467,0.35634,0.10383,0.05174,1.84819,2.96956,0.80523,0.0009505,0.0009505,0.0009505
7,119.627,1.70672,3.15412,0.93005,0.13729,0.28776,0.10436,0.0674,1.56798,2.69103,0.78656,0.0009406,0.0009406,0.0009406
8,135.492,1.58652,2.94066,0.90784,0.14471,0.27418,0.11901,0.07486,1.56211,2.71412,0.80298,0.0009307,0.0009307,0.0009307
9,151.666,1.64634,2.94491,0.92392,0.13382,0.46074,0.11907,0.07436,1.58272,2.40165,0.78603,0.0009208,0.0009208,0.0009208
10,167.92,1.57591,2.79434,0.90402,0.12202,0.43458,0.11234,0.07897,1.41502,2.37632,0.76883,0.0009109,0.0009109,0.0009109
11,184.964,1.53149,2.77339,0.88858,0.15704,0.26818,0.13899,0.09196,1.26467,2.3918,0.77,0.000901,0.000901,0.000901
12,202.122,1.48691,2.70753,0.89838,0.16356,0.40409,0.1434,0.09584,1.26221,2.2443,0.75706,0.0008911,0.0008911,0.0008911
13,218.57,1.51328,2.69109,0.88675,0.14096,0.50439,0.15867,0.10696,1.21668,2.16515,0.75881,0.0008812,0.0008812,0.0008812
