epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.942,2.16824,17.5157,1.29439,0.01525,0.53057,0.04865,0.0314,1.60102,7.14823,1.02503,0.0672089,0.000331224,0.000331224
2,356.052,1.83147,7.57769,1.13749,0.13446,0.14984,0.0725,0.04323,1.63202,6.19106,1.03857,0.0342045,0.000660171,0.000660171
3,534.283,1.77415,6.91851,1.11151,0.12634,0.26575,0.09624,0.06101,1.51172,5.39077,0.99418,0.00119569,0.000984718,0.000984718
4,719.931,1.83215,7.03658,1.13875,0.17088,0.31938,0.14727,0.09005,1.51788,5.20125,1.01374,0.0009802,0.0009802,0.0009802
5,902.808,1.70236,6.39513,1.11882,0.15475,0.28616,0.14293,0.08336,1.4699,5.08639,0.9728,0.0009736,0.0009736,0.0009736
6,1085.47,1.63327,5.99829,1.06122,0.14717,0.59516,0.17909,0.11142,1.23993,4.44449,0.94687,0.000967,0.000967,0.000967
7,1264.76,1.59139,5.82328,1.05261,0.15091,0.63799,0.21386,0.13288,1.40909,4.28029,0.97419,0.0009604,0.0009604,0.0009604
8,1447.23,1.58707,5.56376,1.06456,0.16311,0.52847,0.21286,0.13273,1.34374,4.16587,0.93713,0.0009538,0.0009538,0.0009538
9,1631.59,1.57221,5.50825,1.0619,0.17742,0.57542,0.22022,0.1237,1.40047,4.1638,0.96293,0.0009472,0.0009472,0.0009472
10,1801.45,1.50369,5.29071,1.03612,0.15842,0.68657,0.22546,0.13852,1.33295,4.13622,0.94139,0.0009406,0.0009406,0.0009406
11,1972.4,1.4682,4.99415,1.00606,0.17091,0.64161,0.24515,0.15662,1.11064,4.0136,0.9133,0.000934,0.000934,0.000934
12,2153.41,1.48235,5.05144,1.02383,0.15799,0.72538,0.26382,0.16247,1.40279,3.96653,0.95428,0.0009274,0.0009274,0.0009274
13,2338.66,1.48521,5.04227,1.02663,0.19869,0.54427,0.27319,0.17572,1.05045,3.895,0.90049,0.0009208,0.0009208,0.0009208
14,2498.63,1.46053,4.91178,1.03152,0.25317,0.49619,0.29771,0.17626,1.26194,3.76549,0.931,0.0009142,0.0009142,0.0009142
15,2632.06,1.38293,4.75019,0.99615,0.16407,0.7107,0.26846,0.17563,1.21694,3.8214,0.92092,0.0009076,0.0009076,0.0009076
16,2796.26,1.40382,4.75575,0.99819,0.21038,0.64841,0.31706,0.18592,1.2733,3.71927,0.93238,0.000901,0.000901,0.000901
17,2974.45,1.38392,4.62042,0.99328,0.35321,0.4263,0.32645,0.1978,1.29736,3.5905,0.94433,0.0008944,0.0008944,0.0008944
18,3157.62,1.37815,4.61584,0.99981,0.20203,0.71584,0.32926,0.22613,1.05839,3.49762,0.8896,0.0008878,0.0008878,0.0008878
19,3330.91,1.36137,4.69461,0.99312,0.24544,0.49907,0.33408,0.22042,1.14199,3.49674,0.90219,0.0008812,0.0008812,0.0008812
20,3488.66,1.32661,4.53034,0.9991,0.22642,0.57176,0.33965,0.22867,1.06763,3.46476,0.88799,0.0008746,0.0008746,0.0008746
1,135.221,2.16824,17.5157,1.29439,0.01525,0.53057,0.04865,0.0314,1.60102,7.14823,1.02503,0.0672089,0.000331224,0.000331224
2,306.787,1.83147,7.57769,1.13749,0.13446,0.14984,0.0725,0.04323,1.63202,6.19106,1.03857,0.0342045,0.000660171,0.000660171
3,482.691,1.77415,6.91851,1.11151,0.12634,0.26575,0.09624,0.06101,1.51172,5.39077,0.99418,0.00119569,0.000984718,0.000984718
4,679.259,1.83215,7.03658,1.13875,0.17088,0.31938,0.14727,0.09005,1.51788,5.20125,1.01374,0.0009802,0.0009802,0.0009802
5,866.941,1.70236,6.39513,1.11882,0.15475,0.28616,0.14293,0.08336,1.4699,5.08639,0.9728,0.0009736,0.0009736,0.0009736
6,1048.18,1.63327,5.99829,1.06122,0.14717,0.59516,0.17909,0.11142,1.23993,4.44449,0.94687,0.000967,0.000967,0.000967
7,1231.04,1.59139,5.82328,1.05261,0.15091,0.63799,0.21386,0.13288,1.40909,4.28029,0.97419,0.0009604,0.0009604,0.0009604
8,1414.4,1.58707,5.56376,1.06456,0.16311,0.52847,0.21286,0.13273,1.34374,4.16587,0.93713,0.0009538,0.0009538,0.0009538
9,1595.96,1.57221,5.50825,1.0619,0.17742,0.57542,0.22022,0.1237,1.40047,4.1638,0.96293,0.0009472,0.0009472,0.0009472
10,1778.61,1.50369,5.29071,1.03612,0.15842,0.68657,0.22546,0.13852,1.33295,4.13622,0.94139,0.0009406,0.0009406,0.0009406
11,1953.68,1.4682,4.99415,1.00606,0.17091,0.64161,0.24515,0.15662,1.11064,4.0136,0.9133,0.000934,0.000934,0.000934
12,2132.84,1.48235,5.05144,1.02383,0.15799,0.72538,0.26382,0.16247,1.40279,3.96653,0.95428,0.0009274,0.0009274,0.0009274
13,2283.66,1.48521,5.04227,1.02663,0.19869,0.54427,0.27319,0.17572,1.05045,3.895,0.90049,0.0009208,0.0009208,0.0009208
14,2432.97,1.46053,4.91178,1.03152,0.25317,0.49619,0.29771,0.17626,1.26194,3.76549,0.931,0.0009142,0.0009142,0.0009142
15,2573.87,1.38293,4.75019,0.99615,0.16407,0.7107,0.26846,0.17563,1.21694,3.8214,0.92092,0.0009076,0.0009076,0.0009076
16,2723.71,1.40382,4.75575,0.99819,0.21038,0.64841,0.31706,0.18592,1.2733,3.71927,0.93238,0.000901,0.000901,0.000901
17,2906.55,1.38392,4.62042,0.99328,0.35321,0.4263,0.32645,0.1978,1.29736,3.5905,0.94433,0.0008944,0.0008944,0.0008944
18,3070.63,1.37815,4.61584,0.99981,0.20203,0.71584,0.32926,0.22613,1.05839,3.49762,0.8896,0.0008878,0.0008878,0.0008878
19,3203.47,1.36137,4.69461,0.99312,0.24544,0.49907,0.33408,0.22042,1.14199,3.49674,0.90219,0.0008812,0.0008812,0.0008812
20,3332.53,1.32661,4.53034,0.9991,0.22642,0.57176,0.33965,0.22867,1.06763,3.46476,0.88799,0.0008746,0.0008746,0.0008746
21,3462.67,1.33191,4.48382,0.98236,0.396,0.34359,0.36693,0.25133,1.01117,3.37195,0.87605,0.000868,0.000868,0.000868
22,3591.97,1.34025,4.44706,0.99356,0.30219,0.389,0.36279,0.22507,1.1468,3.34322,0.899,0.0008614,0.0008614,0.0008614
23,3743.86,1.34119,4.50891,0.99068,0.29213,0.45041,0.35704,0.23583,1.12846,3.41731,0.88688,0.0008548,0.0008548,0.0008548
24,3901.78,1.29162,4.33544,0.97453,0.32522,0.4822,0.36129,0.23248,1.01736,3.4334,0.87645,0.0008482,0.0008482,0.0008482
25,4029.36,1.3025,4.41747,0.98233,0.23833,0.57006,0.34659,0.22444,1.09057,3.42652,0.89347,0.0008416,0.0008416,0.0008416
26,4158.44,1.28661,4.46537,0.97923,0.34223,0.39349,0.37944,0.26042,1.00552,3.29485,0.86884,0.000835,0.000835,0.000835
27,4287.48,1.29051,4.31171,0.97573,0.43815,0.38298,0.38369,0.25645,1.1244,3.34492,0.88881,0.0008284,0.0008284,0.0008284
28,4412.52,1.29428,4.22947,0.97913,0.3117,0.42337,0.37827,0.2509,1.04834,3.28573,0.87757,0.0008218,0.0008218,0.0008218
29,4543.46,1.24103,4.18375,0.96982,0.56991,0.28705,0.41288,0.25362,1.13039,3.25571,0.89406,0.0008152,0.0008152,0.0008152
30,4673.71,1.28677,4.27396,0.98623,0.39568,0.36815,0.40953,0.27727,1.04594,3.24051,0.88657,0.0008086,0.0008086,0.0008086
31,4800.07,1.22091,4.0717,0.97953,0.46454,0.39043,0.40569,0.27387,1.01574,3.25174,0.87768,0.000802,0.000802,0.000802
32,4975.9,1.24152,4.04394,0.96016,0.57733,0.30108,0.42445,0.25953,1.15464,3.19339,0.91465,0.0007954,0.0007954,0.0007954
33,5149.69,1.27583,4.23432,0.96605,0.57955,0.29916,0.43047,0.28794,0.97986,3.1647,0.86867,0.0007888,0.0007888,0.0007888
34,5278.67,1.24329,4.01049,0.95111,0.58352,0.30986,0.4388,0.29628,0.95988,3.1565,0.86611,0.0007822,0.0007822,0.0007822
35,5405.78,1.21741,3.98936,0.95601,0.54404,0.31437,0.4399,0.29243,0.99375,3.10501,0.86519,0.0007756,0.0007756,0.0007756
36,5537.38,1.21732,4.01385,0.96233,0.57958,0.30339,0.42692,0.28935,0.9526,3.12705,0.86418,0.000769,0.000769,0.000769
37,5665.41,1.22338,4.11373,0.97934,0.63703,0.29826,0.42987,0.2864,0.95787,3.15324,0.87208,0.0007624,0.0007624,0.0007624
38,5795.38,1.18663,3.98348,0.95209,0.62899,0.3121,0.46122,0.31572,0.92803,3.05774,0.85837,0.0007558,0.0007558,0.0007558
39,5924.37,1.20952,3.95339,0.94174,0.53943,0.33044,0.44453,0.28702,1.11633,3.14358,0.88079,0.0007492,0.0007492,0.0007492
40,6050.62,1.2117,4.00107,0.95933,0.61665,0.30829,0.46338,0.32941,0.80681,3.11187,0.84425,0.0007426,0.0007426,0.0007426
41,6176.3,1.17313,3.83472,0.9632,0.68308,0.32428,0.46784,0.29977,0.92544,3.00557,0.8685,0.000736,0.000736,0.000736
42,6304.72,1.19553,3.94381,0.95581,0.71034,0.30182,0.46029,0.31351,1.0462,3.06605,0.87092,0.0007294,0.0007294,0.0007294
43,6433.43,1.20031,3.99367,0.95881,0.69663,0.30817,0.46199,0.29292,1.11331,3.11152,0.89204,0.0007228,0.0007228,0.0007228
44,6559.26,1.1866,3.91239,0.95287,0.50293,0.34175,0.43471,0.29698,0.95797,3.11424,0.86554,0.0007162,0.0007162,0.0007162
