epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8795,1.6063,7.69292,1.07247,0.33508,0.06753,0.06271,0.045,1.2534,3.43754,0.93834,0.0670432,0.000165612,0.000165612
2,181.688,1.18887,2.97834,0.9434,0.15518,0.31267,0.1365,0.09689,0.98985,2.53211,0.87859,0.0338725,0.000328167,0.000328167
3,263.129,1.07234,2.60908,0.91224,0.1625,0.52287,0.19157,0.13357,1.01169,2.20107,0.87296,0.000697567,0.000486596,0.000486596
4,345.453,0.97269,2.31999,0.88747,0.17246,0.64403,0.21879,0.16043,0.97384,2.01628,0.851,0.000481438,0.000481438,0.000481438
5,429.277,0.91476,2.19067,0.87572,0.16107,0.74514,0.23239,0.17716,0.86354,1.87656,0.84629,0.00047525,0.00047525,0.00047525
6,512.297,0.87377,2.08132,0.85526,0.18334,0.66464,0.27929,0.20568,0.86781,1.834,0.84688,0.000469063,0.000469063,0.000469063
7,595.664,0.87629,2.01746,0.86434,0.23745,0.58501,0.29522,0.22157,0.8405,1.79443,0.83612,0.000462875,0.000462875,0.000462875
8,679.544,0.86203,1.97149,0.85753,0.21201,0.56019,0.31901,0.23762,0.87246,1.74089,0.8396,0.000456687,0.000456687,0.000456687
9,761.24,0.85204,1.89696,0.8546,0.31772,0.39562,0.32313,0.2401,0.83193,1.75788,0.8232,0.0004505,0.0004505,0.0004505
10,842.559,0.85707,1.87801,0.85207,0.39929,0.3244,0.35982,0.27234,0.78315,1.68334,0.8174,0.000444312,0.000444312,0.000444312
11,923.197,0.81757,1.83023,0.84907,0.24971,0.50179,0.36808,0.27703,0.7754,1.63072,0.82323,0.000438125,0.000438125,0.000438125
12,1005.28,0.78696,1.81719,0.84183,0.36672,0.4066,0.38708,0.29389,0.83755,1.6327,0.83321,0.000431938,0.000431938,0.000431938
13,1085.92,0.78657,1.73217,0.84188,0.62624,0.26958,0.40379,0.30482,0.72872,1.60845,0.81073,0.00042575,0.00042575,0.00042575
14,1166.53,0.73352,1.75424,0.83078,0.51477,0.27412,0.41896,0.31833,0.75737,1.59703,0.82,0.000419563,0.000419563,0.000419563
15,1248.59,0.74288,1.75721,0.83121,0.63095,0.28806,0.41485,0.31688,0.66073,1.56045,0.80859,0.000413375,0.000413375,0.000413375
16,1331.05,0.74264,1.72404,0.83981,0.57041,0.28688,0.4198,0.32862,0.71766,1.56647,0.81378,0.000407187,0.000407187,0.000407187
17,1412.48,0.74503,1.71907,0.83079,0.46307,0.33208,0.42543,0.32886,0.66469,1.51857,0.808,0.000401,0.000401,0.000401
18,1494.2,0.71479,1.65569,0.83182,0.60377,0.27961,0.43548,0.32589,0.83133,1.5573,0.82361,0.000394813,0.000394813,0.000394813
19,1576.05,0.70473,1.68725,0.82777,0.63666,0.31514,0.45227,0.3478,0.68954,1.54109,0.80504,0.000388625,0.000388625,0.000388625
20,1657.05,0.68688,1.67419,0.82315,0.6999,0.28291,0.46486,0.3632,0.63711,1.48018,0.80209,0.000382438,0.000382438,0.000382438
21,1739.33,0.69207,1.63752,0.82273,0.55314,0.36405,0.46969,0.37118,0.66099,1.51342,0.79809,0.00037625,0.00037625,0.00037625
22,1821.09,0.68468,1.63308,0.82482,0.66274,0.29089,0.45364,0.35971,0.65138,1.47599,0.80498,0.000370063,0.000370063,0.000370063
